Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
49,2025,15517,Tinnlandet,0.03,0.05,0.02,Nei,Ja,5603,HAMMERFEST,56,Finnmark,70.52875,23.229168,0.5,Nei,6.84,12,Vest-Finnmark
49,2025,25815,Tittelsnes,0.4,1.73,0.01,Nei,Ja,4612,SVEIO,46,Vestland,59.72365,5.534383,0.5,Nei,10.87,3,Karmøy til Sotra
49,2025,20075,Tjajneluokta,0.01,0.03,0,Nei,Ja,1875,HAMARØY,18,Nordland,67.89243,16.236717,0.5,Nei,7.6,9,Vestfjorden og Vesterålen
49,2025,31077,Tjukkeneset,0,0,0,Nei,Ja,1853,EVENES,18,Nordland,68.47297,17.303766,0.5,Nei,4.9,9,Vestfjorden og Vesterålen
49,2025,10054,Tobbeholmane,0.44,1.07,0,Nei,Ja,4625,AUSTEVOLL,46,Vestland,60.02558,5.309083,0.5,Nei,10.7,3,Karmøy til Sotra
49,2025,10635,Toknebuktneset,,,,Ja,Nei,5603,HAMMERFEST,56,Finnmark,70.57253,24.075567,0.5,,,12,Vest-Finnmark
49,2025,17575,Tollaksholmen,0.09,0.33,1.44,Nei,Ja,1145,BOKN,11,Rogaland,59.251984,5.3895,0.5,Nei,10.44,2,Ryfylke
49,2025,30236,Toppsund V,,,,Ja,Nei,5503,HARSTAD,55,Troms,68.91164,16.291616,0.5,,,10,Andøya til Senja
49,2025,26055,Toppsund Ø,,,,Ja,Nei,5503,HARSTAD,55,Troms,68.866264,16.406418,0.5,,,10,Andøya til Senja
49,2025,30837,Torangskjeret,0.03,0.25,0.03,Nei,Ja,4625,AUSTEVOLL,46,Vestland,60.130184,5.176033,0.5,Nei,10.5,3,Karmøy til Sotra
49,2025,30177,Torgerhaugen,,,,Ja,Nei,5060,NÆRØYSUND,50,Trøndelag,64.89295,11.763017,0.5,,,7,Nord-Trøndelag med Bindal
